Date,Open,High,Low,Close,Adj Close,Volume
2008-10-01,15.1875,15.525,14.8025,15.3275,12.303621000000001,27054000
2008-10-02,15.3725,15.3725,14.3275,14.3975,11.557096000000001,35216000
2008-10-03,14.7675,15.0425,14.0775,14.21,11.406587,58355600
2008-10-06,13.355,14.005,12.5625,13.845,11.113593,87360800
2008-10-07,14.0,14.11,12.655,12.7875,10.264722,75845600
2008-10-08,12.2525,13.6075,11.9375,13.1575,10.561727000000001,75210400
2008-10-09,13.4475,13.985,12.3525,12.4625,10.003839,42537600
2008-10-10,11.75,13.4875,11.75,13.0,10.435297,72541600
2008-10-13,13.7475,14.75,13.3975,14.7175,11.813962,49433200
2008-10-14,15.5,15.5275,13.8125,14.4025,11.561108,53142400
2008-10-15,13.88,14.0,12.1325,12.4375,9.983771,76699200
2008-10-16,12.5375,13.3325,12.01,13.2675,10.650022,56062800
2008-10-17,12.875,13.7675,12.875,13.055,10.47945,35098400
2008-10-20,13.3275,13.455,12.78,13.0025,10.437307,35965600
2008-10-21,12.8375,13.2675,12.5725,12.675,10.174419,28995600
2008-10-22,12.4925,13.0,12.0,12.1275,9.73493,40243600
2008-10-23,12.19,12.3875,11.435,12.08,9.696800999999999,47970000
2008-10-24,10.95,12.125,10.935,11.995,9.628573,40798800
2008-10-27,11.7525,12.3,11.61,11.6475,9.349628,41901600
2008-10-28,11.975,12.895,11.7625,12.4925,10.027923,58436000
2008-10-29,12.6,13.3775,12.3775,12.6725,10.172410000000001,55994400
2008-10-30,12.6475,14.04,12.645,13.5625,10.886826,74913200
2008-10-31,13.4725,14.02,13.25,13.8375,11.107574000000001,40372800
2008-11-03,13.98,14.025,12.9775,13.1225,10.533636,28425200
2008-11-04,13.595,15.1125,13.47,14.9525,12.002601,73603600
2008-11-05,14.5725,14.8,14.1075,14.1175,11.332333,44992000
2008-11-06,13.76,14.0,12.685,12.8825,10.34098,52092800
2008-11-07,13.1125,13.7,12.8275,13.375,10.736317999999999,30906400
